STATE,COUNTYNAME,shapefile_latitude,shapefile_longitude,nc_latitude,nc_longitude,population_projection_2020
ME,Washington,45.03632349735477,-67.63610167095239,45.06250000025,-67.68749999990001,129.0
GA,McIntosh,31.5329230113396,-81.26464680273524,31.562500000249997,-81.31249999990001,1415.0
GA,Liberty,31.709329849019692,-81.21026736060425,31.687500000249997,-81.18749999990001,2512.0
AS,Swains Island,-11.054815131592369,-171.08016537175433,-11.062499999750003,-171.0624999999,17.0
AS,Manu'a,-14.221924304478653,-169.5059571208419,-14.187499999750003,-169.5624999999,0.0
AS,Western,-14.32413026065064,-170.76913008089372,-14.312499999750003,-170.8124999999,0.0
AS,Eastern,-14.276260435540676,-170.65963730038177,-14.312499999750003,-170.6874999999,0.0
PR,Anasco,18.28699109213831,-67.12213699910546,18.312500000249997,-67.06249999990001,0.0
PR,Arroyo,17.998161326081927,-66.0563155970918,17.937500000249997,-66.06249999990001,22.0
PR,Barceloneta,18.445352948506237,-66.56046918785589,18.437500000249997,-66.56249999990001,0.0
PR,Barranquitas,18.201738007871505,-66.3099078250135,18.187500000249997,-66.31249999990001,173.0
PR,Bayamon,18.34965118473546,-66.16836978406374,18.312500000249997,-66.18749999990001,0.0
PR,Caguas,18.21193758619742,-66.0507625648833,18.187500000249997,-66.06249999990001,0.0
PR,Canovanas,18.328767141112692,-65.88785872167584,18.312500000249997,-65.93749999990001,0.0
PR,Cayey,18.102934867108008,-66.14948640374995,18.062500000249997,-66.18749999990001,0.0
PR,Ceiba,18.252566663846984,-65.66780558937249,18.312500000249997,-65.68749999990001,0.0
PR,Ciales,18.28891589421112,-66.51638968895632,18.312500000249997,-66.56249999990001,0.0
PR,Cidra,18.173699148784777,-66.16107943354577,18.187500000249997,-66.18749999990001,0.0
PR,Coamo,18.097225732500604,-66.36013231143585,18.062500000249997,-66.31249999990001,0.0
PR,Comerio,18.224757587757672,-66.22187805291999,18.187500000249997,-66.18749999990001,0.0
PR,Corozal,18.304305807112762,-66.32789811155018,18.312500000249997,-66.31249999990001,0.0
PR,Florida,18.373451751649206,-66.56013380388707,18.312500000249997,-66.56249999990001,0.0
PR,Guanica,17.98269119594869,-66.91976389350117,17.937500000249997,-66.93749999990001,163.0
PR,Guayama,18.007706185825988,-66.13356558754352,18.062500000249997,-66.18749999990001,0.0
PR,Guayanilla,18.040624809967273,-66.79162486281015,18.062500000249997,-66.81249999990001,0.0
